code,isPartOf,isPartOf2,institution,address,url,library-url
ustav_geoniky,avcr,research,"Ústav geoniky","Studentská 1768 ,  708 00 Ostrava - Poruba","http://www.ugn.cas.cz/",""
ustav_chemickych_procesu,avcr,research,"Ústav chemických procesů","Rozvojová 135, 165 02 Praha 6","http://www.icpf.cas.cz/","http://www.icpf.cas.cz/cs/knihovna"
ustav_informatiky,avcr,research,"Ústav informatiky","Pod vodárenskou věží 2, 182 07 Praha 8","http://www.cs.cas.cz/","http://www.ustavinformatiky.cz/?id_jazyk=cs&id_stranky=knihovna"
ustav_jaderne_fyziky,avcr,research,"Ústav jaderné fyziky","Husinec - Řež 130, 250 68 Řež","http://www.ujf.cas.cz/","http://www.ujf.cas.cz/cs/intranet/knihovna/"
ustav_makromolekularni_chemie,avcr,research,"Ústav makromolekulární chemie","Heyrovského nám. 2, 162 06 Praha 6","http://www.imc.cas.cz/","http://www.imc.cas.cz/cz/umch/knihovna_umch.htm"
ustav_molekularni_biologie_rostlin,avcr,research,"Ústav molekulární biologie rostlin","Branišovská 1160/31, České Budějovice","http://www.bc.cas.cz/",""
ustav_molekularni_genetiky,avcr,research,"Ústav molekulární genetiky","Vídeňská 1083,  142 20 Praha 4","http://www.img.cas.cz/",""
ustav_organicke_chemie_a_biochemie,avcr,research,"Ústav organické chemie a biochemie","Flemingovo nám. 2, 166 10 Praha 6","http://www.uochb.cz/","http://library.uochb.cas.cz/"
ustav_pristrojove_techniky,avcr,research,"Ústav přístrojové techniky","Královopolská 147, 612 64 Brno","http://www.isibrno.cz/",""
ustav_pro_ceskou_literaturu,avcr,research,"Ústav pro českou literaturu","Na Florenci 3/1420, 110 15 Praha 1","http://www.ucl.cas.cz","http://www.ucl.cas.cz/cs/knihovna/elektronicky-katalog"
ustav_pro_dejiny_umeni_ff_uk,public_uni,edu,"Ústav pro dějiny umění FF UK","Celetná 20, 116 12 Praha 1","http://udu2.ff.cuni.cz","http://udu2.ff.cuni.cz/node/18"
ustav_pro_hydrodynamiku,avcr,research,"Ústav pro hydrodynamiku","Pod Paťankou 30 / 5, 166 12 Praha 6","http://www.ih.cas.cz/","https://www.ih.cas.cz/knihovna/"
ustav_pro_jazyk_cesky,avcr,research,"Ústav pro jazyk český","Letenská 4, 118 51 Praha 1","http://www.ujc.cas.cz/","http://www.ujc.cas.cz/o-ustavu/knihovna.html"
ustav_pro_soudobe_dejiny,avcr,research,"Ústav pro soudobé dějiny","Vlašská 9, 118 40 Praha 1","http://www.usd.cas.cz/","http://www.usd.cas.cz/knihovna/"
ustav_pro_studium_totalitnich_rezimu,vi,research,"Ústav pro studium totalitních režimů","Siwiecova 2, 130 00 Praha 3","http://www.ustrcr.cz/","http://www.ustrcr.cz/cs/knihovna-jana-langose"
ustav_pudni_biologie,avcr,research,"Ústav půdní biologie","Na Sádkách 7, 370 05 České Budějovice","http://www.upb.cas.cz/",""
ustav_statu_a_prava,avcr,research,"Ústav státu a práva","Národní 18, 116 00 Praha 1","http://www.ilaw.cas.cz/","https://www.ilaw.cas.cz/sluzby-on-line-knihovna/aktuality.html"
ustav_struktury_a_mechaniky_hornin,avcr,research,"Ústav struktury a mechaniky hornin","V Holešovičkách 41, 182 09 Praha 8","http://www.irsm.cas.cz/",""
ustav_teoreticke_a_aplikovane_mechaniky,avcr,research,"Ústav teoretické a aplikované mechaniky","Prosecká 76, 190 00 Praha 9","http://www.itam.cas.cz/","http://www.itam.cas.cz/oddeleni/knihovna/"
ustav_teorie_informace_a_automatizace,avcr,research,"Ústav teorie informace a automatizace","Pod vodárenskou věží 4, 182 08 Praha 8","http://www.utia.cas.cz/","https://www.utia.cas.cz/cs/KN_"
ustav_termomechaniky,avcr,research,"Ústav termomechaniky","Dolejškova 5, 182 00 Praha 8","http://www.it.cas.cz/","http://www.it.cas.cz/cs/lib"
ustav_zivocisne_fyziologie_a_genetiky,avcr,research,"Ústav živočišné fyziologie a genetiky","Rumburská 89, 277 21 Liběchov","http://www.iapg.cas.cz/",""
vscht,public_uni,edu,"Vysoká škola chemicko-technologická v Praze","Technická 5, 166 28 Praha 6","http://www.vscht.cz/",""
vugtk,vvi,research,"Výzkumný ústav geodetický, topografický a kartografický","Ústecká 98, 250 66 Zdiby","http://www.vugtk.cz/",""
vutbr,public_uni,edu,"Vysoké učení technické v Brně‎","Antonínská 548/1, 601 90 Brno","http://www.vutbr.cz/","http://www.vutbr.cz/knihovny/"
vvud,vi,research,"Výzkumný a vývojový ústav dřevařský, Praha, s.p.","Na Florenci 7-9, 111 71 Praha 1","http://www.vvud.cz",""
vysoka_skola_ekonomicka_v_praze,public_uni,edu,"Vysoká škola ekonomická v Praze","nám. W. Churchilla 4, 130 67 Praha 3","http://www.vse.cz","http://ciks.vse.cz/knihovna/"
vysoka_skola_evropskych_a_regionalnich_studii,private_uni,edu,"Vysoká škola evropských a regionálních studií, o.p.s.","Žižkova 6, 370 01 České Budějovice ","http://vsers.cz/","https://vsers.cz/knihovna-prodej-publikaci/"
vysoka_skola_financni_a_spravni,private_uni,edu,"Vysoká škola finanční a správní","Estonská 500, 101 00 Praha 10","http://www.vsfs.cz/","http://www.vsfs.cz/?id=1875-knihovna"
vysoka_skola_manazerske_informatiky_a_ekonomiky,private_uni,edu,"Vysoká škola podnikání a práva (Vysoká škola manažerské informatiky a ekonomiky)","Vltavská 585/14, 150 00  Praha 5","https://www.vspp.cz/","https://www.vspp.cz/cs/kontakty/knihovna"
vyzkumny_ustav_bezpecnosti_prace,vvi,research,"Výzkumný ústav bezpečnosti práce, v.v.i.","Jeruzalémská 9, 116 52 Praha 1","http://www.vubp.cz/","https://www.vubp.cz/knihovna"
vyzkumny_ustav_lesniho_hospodarstvi_a_myslivosti,vvi,research,"Výzkumný ústav lesního hospodářství a myslivosti, v.v.i.","Strnady 136, 252 02 Jíloviště","http://www.vulhm.cz/",""
vyzkumny_ustav_potravinarsky,vvi,research,"Výzkumný ústav potravinářský Praha, v.v.i.","Radiová 1285/7, 102 00 Praha","http://www.vupp.cz",""
vyzkumny_ustav_prace_a_socialnich_veci,vvi,research,"Výzkumný ústav práce a sociálních věcí, v.v.i.","Palackého náměstí 4, 128 01 Praha 2","http://www.vupsv.cz/","https://www.vupsv.cz/knihovna/"
vyzkumny_ustav_rostlinne_vyroby,vvi,research,"Výzkumný ústav rostlinné výroby","Karlštejn 26, 267 18 Karlštejn","http://www.vurv.cz/","https://www.vurv.cz/index.php?p=knihovna&site=pro_verejnost"
vyzkumny_ustav_silva_taroucy,vvi,research,"Výzkumný ústav Silva Taroucy pro krajinu a okrasné zahradnictví, v.v.i.","Květnové náměstí 391, 252 43 Průhonice","http://www.vukoz.cz/","http://www.vukoz.cz/index.php/knihovna"
woodexpert,null,other,"WOODEXPERT s.r.o.","Tečovice 45, 763 02 Zlín - Tečovice","http://woodexpert.cz/",""
zapadoceska_univerzita,public_uni,edu,"Západočeská univerzita v Plzni","Univerzitní  8/2732, 301 00 Plzeň","https://www.zcu.cz/",""
zapadoceske_muzeum_v_plzni,museums,culture,"Západočeské muzeum v Plzni","Kopeckého sady 2, 301 00 Plzeň","http://www.zcm.cz/","https://www.zcm.cz/nabizime/sluzby-knihovny"
